Entered Generation:  1												
Test R^2 	" 0.0398595491028535,"	Difference Score 	" 3.6686671559491137,"	"Pipeline: DecisionTreeRegressor(UnderDominanceEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.027333365951504818,"	Difference Score 	" 4.729079139230355,"	"Pipeline: DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.01147394954820391,"	Difference Score 	" 4.781109423380067,"	"Pipeline: DecisionTreeRegressor(DominantEncoder(UnderDominanceEncoder(input_matrix)), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.006398703527438543,"	Difference Score 	" 5.925168543373612,"	"Pipeline: DecisionTreeRegressor(RecessiveEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"1, DecisionTreeRegressor__min_samples_leaf"	"9, DecisionTreeRegressor__min_samples_split"	10)					
********************************************************************************************************************************************************************												
Entered Generation:  3												
Generation 3 - Current Pareto Front:												
Test R^2 	" 0.10726203052134375,"	Difference Score 	" 1.3482583226307812,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.25, RandomForestRegressor__min_samples_leaf"	"3, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09737663831222876,"	Difference Score 	" 1.3690084239533236,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.55, RandomForestRegressor__min_samples_leaf"	"5, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09554251528172586,"	Difference Score 	" 1.557508486950291,"	"Pipeline: RandomForestRegressor(UnderDominanceEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.8500000000000001, RandomForestRegressor__min_samples_leaf"	"13, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09526819809509879,"	Difference Score 	" 1.6601390708457995,"	"Pipeline: RandomForestRegressor(UnderDominanceEncoder(HeterosisEncoder(input_matrix)), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.4, RandomForestRegressor__min_samples_leaf"	"11, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0931661123376819,"	Difference Score 	" 1.708447963707009,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"False, RandomForestRegressor__max_features"	"0.3, RandomForestRegressor__min_samples_leaf"	"17, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0916467509393375,"	Difference Score 	" 1.761929753475856,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.6000000000000001, RandomForestRegressor__min_samples_leaf"	"17, RandomForestRegressor__min_samples_split"	"14, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.08948001409258854,"	Difference Score 	" 1.7897460690450047,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.6500000000000001, RandomForestRegressor__min_samples_leaf"	"19, RandomForestRegressor__min_samples_split"	"20, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0762268465995305,"	Difference Score 	" 1.9018000593654665,"	"Pipeline: RandomForestRegressor(FeatureEncodingFrequencySelector(DominantEncoder(OverDominanceEncoder(input_matrix)), FeatureEncodingFrequencySelector__threshold"	"0.35), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.1, RandomForestRegressor__min_samples_leaf"	"8, RandomForestRegressor__min_samples_split"	"12, RandomForestRegressor__n_estimators"	100)		
Test R^2 	" 0.05903240219812633,"	Difference Score 	" 2.255679844319983,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.05, RandomForestRegressor__min_samples_leaf"	"16, RandomForestRegressor__min_samples_split"	"14, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.04946625653950021,"	Difference Score 	" 2.3099149599837796,"	"Pipeline: DecisionTreeRegressor(OverDominanceEncoder(OverDominanceEncoder(input_matrix)), DecisionTreeRegressor__max_depth"	"4, DecisionTreeRegressor__min_samples_leaf"	"13, DecisionTreeRegressor__min_samples_split"	16)					
Test R^2 	" 0.046591060911427506,"	Difference Score 	" 3.135211431865081,"	"Pipeline: DecisionTreeRegressor(HeterosisEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"3, DecisionTreeRegressor__min_samples_leaf"	"19, DecisionTreeRegressor__min_samples_split"	3)					
Test R^2 	" 0.0398595491028535,"	Difference Score 	" 3.668667155949132,"	"Pipeline: DecisionTreeRegressor(HeterosisEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.030288995738109947,"	Difference Score 	" 4.122252517025003,"	"Pipeline: LinearRegression(SelectPercentile(RecessiveEncoder(UnderDominanceEncoder(input_matrix)), SelectPercentile__percentile"	10))							
Test R^2 	" 0.027333365951504818,"	Difference Score 	" 4.729079139230355,"	"Pipeline: DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.01147394954820391,"	Difference Score 	" 4.781109423380067,"	"Pipeline: DecisionTreeRegressor(DominantEncoder(UnderDominanceEncoder(input_matrix)), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.006398703527438543,"	Difference Score 	" 5.925168543373612,"	"Pipeline: DecisionTreeRegressor(RecessiveEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"1, DecisionTreeRegressor__min_samples_leaf"	"9, DecisionTreeRegressor__min_samples_split"	10)					
*************************************************************************************************************************************************************************												
Entered Generation:  4												
Generation 4 - Current Pareto Front:												
Test R^2 	" 0.10726203052134375,"	Difference Score 	" 1.3482583226307812,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.25, RandomForestRegressor__min_samples_leaf"	"3, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09915084787924688,"	Difference Score 	" 1.6270291749109784,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.55, RandomForestRegressor__min_samples_leaf"	"11, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09766370238703004,"	Difference Score 	" 1.6526689013043743,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.4, RandomForestRegressor__min_samples_leaf"	"11, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09526819809509879,"	Difference Score 	" 1.6601390708457995,"	"Pipeline: RandomForestRegressor(UnderDominanceEncoder(HeterosisEncoder(input_matrix)), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.4, RandomForestRegressor__min_samples_leaf"	"11, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0931661123376819,"	Difference Score 	" 1.708447963707009,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"False, RandomForestRegressor__max_features"	"0.3, RandomForestRegressor__min_samples_leaf"	"17, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0916467509393375,"	Difference Score 	" 1.761929753475856,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.6000000000000001, RandomForestRegressor__min_samples_leaf"	"17, RandomForestRegressor__min_samples_split"	"14, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.08948001409258854,"	Difference Score 	" 1.7897460690450047,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.6500000000000001, RandomForestRegressor__min_samples_leaf"	"19, RandomForestRegressor__min_samples_split"	"20, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.08776563118130876,"	Difference Score 	" 1.830609907869799,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.35000000000000003, RandomForestRegressor__min_samples_leaf"	"16, RandomForestRegressor__min_samples_split"	"20, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0762268465995305,"	Difference Score 	" 1.9018000593654665,"	"Pipeline: RandomForestRegressor(FeatureEncodingFrequencySelector(DominantEncoder(OverDominanceEncoder(input_matrix)), FeatureEncodingFrequencySelector__threshold"	"0.35), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.1, RandomForestRegressor__min_samples_leaf"	"8, RandomForestRegressor__min_samples_split"	"12, RandomForestRegressor__n_estimators"	100)		
Test R^2 	" 0.05916765295483706,"	Difference Score 	" 1.9031992517607748,"	"Pipeline: RandomForestRegressor(OverDominanceEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.1, RandomForestRegressor__min_samples_leaf"	"9, RandomForestRegressor__min_samples_split"	"12, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.05903240219812633,"	Difference Score 	" 2.255679844319983,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.05, RandomForestRegressor__min_samples_leaf"	"16, RandomForestRegressor__min_samples_split"	"14, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.05081469086245227,"	Difference Score 	" 2.3127715497436414,"	"Pipeline: DecisionTreeRegressor(OverDominanceEncoder(OverDominanceEncoder(input_matrix)), DecisionTreeRegressor__max_depth"	"4, DecisionTreeRegressor__min_samples_leaf"	"10, DecisionTreeRegressor__min_samples_split"	20)					
Test R^2 	" 0.046591060911427506,"	Difference Score 	" 3.135211431865081,"	"Pipeline: DecisionTreeRegressor(HeterosisEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"3, DecisionTreeRegressor__min_samples_leaf"	"19, DecisionTreeRegressor__min_samples_split"	3)					
Test R^2 	" 0.0398595491028535,"	Difference Score 	" 3.668667155949132,"	"Pipeline: DecisionTreeRegressor(HeterosisEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.030288995738109947,"	Difference Score 	" 4.122252517025003,"	"Pipeline: LinearRegression(SelectPercentile(RecessiveEncoder(UnderDominanceEncoder(input_matrix)), SelectPercentile__percentile"	10))							
Test R^2 	" 0.027333365951504818,"	Difference Score 	" 4.729079139230355,"	"Pipeline: DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.01147394954820391,"	Difference Score 	" 4.781109423380067,"	"Pipeline: DecisionTreeRegressor(DominantEncoder(UnderDominanceEncoder(input_matrix)), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.006398703527438543,"	Difference Score 	" 5.925168543373612,"	"Pipeline: DecisionTreeRegressor(RecessiveEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"1, DecisionTreeRegressor__min_samples_leaf"	"9, DecisionTreeRegressor__min_samples_split"	10)					
********************************************************************************************************************************************************************												
Entered Generation:  5												
Generation 5 - Current Pareto Front:												
Test R^2 	" 0.10726203052134375,"	Difference Score 	" 1.3482583226307812,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.25, RandomForestRegressor__min_samples_leaf"	"3, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0994228591471158,"	Difference Score 	" 1.4032975612101621,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.4, RandomForestRegressor__min_samples_leaf"	"5, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09915084787924688,"	Difference Score 	" 1.6270291749109784,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.55, RandomForestRegressor__min_samples_leaf"	"11, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09766370238703004,"	Difference Score 	" 1.6526689013043743,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.4, RandomForestRegressor__min_samples_leaf"	"11, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09526819809509879,"	Difference Score 	" 1.6601390708457995,"	"Pipeline: RandomForestRegressor(UnderDominanceEncoder(HeterosisEncoder(input_matrix)), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.4, RandomForestRegressor__min_samples_leaf"	"11, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09362903045587412,"	Difference Score 	" 1.7058916812344151,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.55, RandomForestRegressor__min_samples_leaf"	"14, RandomForestRegressor__min_samples_split"	"5, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0931661123376819,"	Difference Score 	" 1.708447963707009,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"False, RandomForestRegressor__max_features"	"0.3, RandomForestRegressor__min_samples_leaf"	"17, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09267082097215573,"	Difference Score 	" 1.7267064628402096,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(HeterosisEncoder(input_matrix)), RandomForestRegressor__bootstrap"	"False, RandomForestRegressor__max_features"	"0.3, RandomForestRegressor__min_samples_leaf"	"18, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.09202857417526045,"	Difference Score 	" 1.7639695168495098,"	"Pipeline: RandomForestRegressor(RecessiveEncoder(UnderDominanceEncoder(input_matrix)), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.55, RandomForestRegressor__min_samples_leaf"	"16, RandomForestRegressor__min_samples_split"	"12, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.08986334868817536,"	Difference Score 	" 1.7768580490378705,"	"Pipeline: RandomForestRegressor(UnderDominanceEncoder(HeterosisEncoder(input_matrix)), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.6000000000000001, RandomForestRegressor__min_samples_leaf"	"18, RandomForestRegressor__min_samples_split"	"15, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.08948001409258854,"	Difference Score 	" 1.7897460690450047,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.6500000000000001, RandomForestRegressor__min_samples_leaf"	"19, RandomForestRegressor__min_samples_split"	"20, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.08776563118130876,"	Difference Score 	" 1.830609907869799,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.35000000000000003, RandomForestRegressor__min_samples_leaf"	"16, RandomForestRegressor__min_samples_split"	"20, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.08525784644768819,"	Difference Score 	" 1.8431830937996652,"	"Pipeline: RandomForestRegressor(UnderDominanceEncoder(HeterosisEncoder(input_matrix)), RandomForestRegressor__bootstrap"	"False, RandomForestRegressor__max_features"	"0.15000000000000002, RandomForestRegressor__min_samples_leaf"	"14, RandomForestRegressor__min_samples_split"	"12, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0762268465995305,"	Difference Score 	" 1.9018000593654665,"	"Pipeline: RandomForestRegressor(FeatureEncodingFrequencySelector(DominantEncoder(OverDominanceEncoder(input_matrix)), FeatureEncodingFrequencySelector__threshold"	"0.35), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.1, RandomForestRegressor__min_samples_leaf"	"8, RandomForestRegressor__min_samples_split"	"12, RandomForestRegressor__n_estimators"	100)		
Test R^2 	" 0.06895924153908961,"	Difference Score 	" 2.028709730677496,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"False, RandomForestRegressor__max_features"	"0.05, RandomForestRegressor__min_samples_leaf"	"16, RandomForestRegressor__min_samples_split"	"14, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.05903240219812633,"	Difference Score 	" 2.255679844319983,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.05, RandomForestRegressor__min_samples_leaf"	"16, RandomForestRegressor__min_samples_split"	"14, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.05081469086245227,"	Difference Score 	" 2.3127715497436414,"	"Pipeline: DecisionTreeRegressor(OverDominanceEncoder(OverDominanceEncoder(input_matrix)), DecisionTreeRegressor__max_depth"	"4, DecisionTreeRegressor__min_samples_leaf"	"10, DecisionTreeRegressor__min_samples_split"	20)					
Test R^2 	" 0.046591060911427506,"	Difference Score 	" 3.135211431865081,"	"Pipeline: DecisionTreeRegressor(HeterosisEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"3, DecisionTreeRegressor__min_samples_leaf"	"19, DecisionTreeRegressor__min_samples_split"	3)					
Test R^2 	" 0.0398595491028535,"	Difference Score 	" 3.668667155949132,"	"Pipeline: DecisionTreeRegressor(HeterosisEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.030288995738109947,"	Difference Score 	" 4.122252517025003,"	"Pipeline: LinearRegression(SelectPercentile(RecessiveEncoder(UnderDominanceEncoder(input_matrix)), SelectPercentile__percentile"	10))							
Test R^2 	" 0.027333365951504818,"	Difference Score 	" 4.729079139230355,"	"Pipeline: DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
